id,venue,publishedYear,Processor,joinAlgorithm
376,"3PGCIC","2013","CPU","Sort-Merge Join"
376,"3PGCIC","2013","CPU","Hash Join"
47,"ACM ","2006","CPU","Sort-Merge Join"
967,"ACM Trans. Database Syst.","2007","CPU","Hash Join"
204,"ACM Trans. Database Syst.","2019","CPU","Sort-Merge Join"
204,"ACM Trans. Database Syst.","2019","CPU","Hash Join"
2,"ADMA","2014","CPU","Sort-Merge Join"
2,"ADMA","2014","CPU","Nested Loop Join" 
915,"ADMS/IMDM@VLDB","2016","CPU","Hash Join"
220,"APWeb/WAIM","2007","CPU","Hash Join"
220,"APWeb/WAIM","2007","CPU","Sort-Merge Join"
220,"APWeb/WAIM","2007","CPU","Nested Loop Join" 
54,"CIKM","2006","GPU","Nested Loop Join"
896,"CIKM","2017","CPU","Hash Join"
986,"CLUSTER","2002","CPU","Hash Join"
396,"Comput. Sci. Res. Dev.","2012","CPU","Hash Join"
396,"Comput. Sci. Res. Dev.","2012","CPU","Sort-Merge Join"
501,"Conf. Computing "Frontiers","2006","GPU","Hash Join"
15,"CoRR","2022","CPU","Sort-Merge Join"
969,"DaMoN","2007","CPU","Hash Join"
820,"DaMoN","2021","XPU","Hash Join"
100,"DaMoN","2012","GPU","Hash Join"
959,"DASFAA","2009","CPU","Hash Join"
654,"DASFAA Workshops","2014","CPU","Hash Join"
11,"DATA","2013","CPU","Sort-Merge Join"
684,"Distributed Parallel Databases","2019","GPU","Hash Join"
836,"Distributed Parallel Databases","2020","GPU","Hash Join"
67,"EDBT","2022","FPGA","Hash Join"
807,"EDBT","2022","CPU","Hash Join"
502,"EDBT Workshops","2006","CPU","Hash Join"
177,"FCCM","2013","FPGA","Hash Join"
5,"FPL","2019","FPGA","Sort-Merge Join"
646,"FPT","2021","FPGA","Hash Join"
339,"FSKD","2015","GPU","Hash Join"
519,"GCC","2005","CPU","Hash Join"
687,"GIS","2004","CPU","Hash Join"
214,"HPCC/SmartCity/DSS","2019","GPU","Hash Join"
214,"HPCC/SmartCity/DSS","2019","GPU","Sort-Merge Join"
931,"HPCS","2014","GPU","Hash Join"
33,"HPCS","2018","GPU","Nested Loop Join"
525,"HPDC","2004","CPU","Hash Join"
50,"ICA3PP","2005","CPU","Sort-Merge Join"
178,"ICACCI","2013","GPU","Hash Join"
503,"ICCSA","2006","CPU","Hash Join"
623,"ICDE","2004","CPU","Sort-Merge Join"
623,"ICDE","2004","CPU","Hash Join"
941,"ICDE","2013","CPU","Hash Join"
871,"ICDE","2019","GPU","Hash Join"
179,"ICEIS","2013","CPU","Hash Join"
216,"ICPP","2019","GPU","Hash Join"
216,"ICPP","2019","GPU","Sort-Merge Join"
226,"IDEAS","2005","CPU","Nested Loop Join"
338,"IEEE","2015","GPU"," Hash" Join
338,"IEEE","2015","GPU","Sort-Merge Join" 
338,"IEEE","2015","GPU","Nested Loop Join"
847,"IEEE","2020","FPGA","Hash Join"
86,"IEEE","2020","FPGA","Hash Join"
817,"IEEE","2021","FPGA","Sort-Merge Join"
817,"IEEE","2021","FPGA","Hash Join"
6,"IEEE","2017","CPU","Nested Loop Join"
918,"IEEE","2015","CPU","Hash Join"
6,"IEEE","2017","CPU","Nested Loop Join"
131,"IEEE","2017","GPU","Hash Join"
943,"VLDB","2013","CPU","Hash Join"
709,"Inf. Syst.","2015","CPU","Nested Loop Join"
683,"Inf. Syst.","2016","CPU","Hash Join"
689,"Innovate-Data","2019","CPU","Sort-Merge Join"
689,"Innovate-Data","2019","CPU","Nested Loop Join"
56,"ISPA","2005","CPU","Nested Loop Join"
625,"ISPA/BDCloud/SocialCom/SustainCom","2019","CPU","Hash Join"
902,"ISPA/IUCC","2017","GPU","Hash Join"
330,"J. Comput. Syst. Sci.","2015","CPU","Sort-Merge Join"
330,"J. Comput. Syst. Sci.","2015","CPU","Hash Join"
330,"J. Comput. Syst. Sci.","2015","CPU","Nested Loop Join"
110,"J.Supercomput.","2021","GPU","Hash Join"
110,"J.Supercomput.","2021","GPU","Nested Loop Join"
663,"PACIIA","2008","CPU","Sort-Merge Join"
663,"PACIIA","2008","CPU","Hash Join"
958,"VLDB","2009","GPU","Hash Join"
958,"VLDB","2009","GPU","Sort-Merge Join"
34,"VLDB","2012","CPU","Sort-Merge Join"
935,"VLDB","2013","CPU","Sort-Merge Join"
935,"VLDB","2013","CPU","Hash Join"
936,"VLDB","2013","APU","Hash Join"
929,"VLDB","2014","CPU","Hash Join"
917,"VLDB","2015","CPU","Hash Join"
281,"VLDB","2017","CPU","Hash Join"
281,"VLDB","2017","CPU","Sort-Merge Join"
83,"VLDB","2020","CPU","Hash Join"
142,"VLDB","2020","GPU","Sort-Merge Join"
142,"VLDB","2020","GPU","Nested Loop Join"
715,"SAC","2009","CPU","Hash Join"
699,"SIGMOD Conference","2002","CPU","Hash Join"
426,"SIGMOD Conference","2011","CPU","Hash Join"
151,"SIGMOD Conference","2016","CPU","Sort-Merge Join"
151,"SIGMOD Conference","2016","CPU","Hash Join"
382,"SoCC","2013","CPU","Hash Join"
920,"SoCC","2015","CPU","Hash Join"
295,"SSDBM","2017","GPU","Hash Join"
295,"SSDBM","2017","GPU","Sort-Merge Join" 
9,"VLDB","2002","CPU","Sort-Merge Join"
944,"WAIM","2013","CPU","Hash Join"
665,"WISE","2020","CPU","Hash Join"
