id,joinAlgorithm,Processor,manufacturer,Varient,implementation,citedBy,References
9,"Sort-Merge Join","CPU",null,null,"yes",141,2
699,"Hash Join","CPU","Intel","X86","yes",112,17
986,"Hash Join","CPU",null,null,"yes",7,17
525,"Hash Join","CPU","Intel","Pentium III","yes",16,33
623,"Hash & Merge Join","CPU","Intel","Pentium IV","yes",171,24  
687,"Hash Join","CPU",null,null,"yes",10,14
50,"Sort-Merge Join","CPU",null,null,"yes",2,10
56,"Nested Loop Join","CPU",null,null,"yes",2,2
226,"Nested Loop Join","CPU","Intel","Pentium III","yes",11,24
519,"Hash Join","CPU","Intel","Pentium","yes",2,4
47,"Sort-Merge Join","CPU","Intel","Pentium 4","yes",50,32  
54,"Nested Loop Join","CPU & GPU","Intel : Sun Microsystems & AMD","Pentium4 : Ultra-Sparc III & Opteron","yes",23,27 
501,"Hash Join","CPU & GPU","Intel & AMD","Xeon : Pentium 4 Prescott &  Opteron","yes",33,29
502,"Hash Join","CPU","Intel","XEON & Pentium IV","yes",23,16   
503,"Hash Join","CPU",null,null,"yes",2,13
220,"Nested-loop & Sort-merge & Hash Join","CPU","Intel","Pentium IV","yes",10,22
967,"Hash Join","CPU","Intel","Itanium 2","yes",259,35
969,"Hash Join","CPU","Intel","Xeon Northwood & Core Duo (Yonah) & Pentium 4 Prescott","yes",26,24
663,"Hash & Merge Join","CPU",null,null,"yes",0,18
715,"Hash Join","CPU","Intel","Core 2 Quad Q6600","yes",3,11
958,"Sort & Hash Join","CPU & GPU","Intel & Nvidia","Core i7 965 & 8800GTX","yes",391,39
959,"Hash Join","CPU","Intel","L2-Cache Chip Multi-Processor CMP( Dual-Core and QuadCore )","yes",4,15
426,"Hash Join","CPU","Intel & Sun microSystems","Nehalem Xeon X5650 & Sun UltraSPARC T2","yes",317,17
34,"Sort-Merge Join","CPU","Intel","Xeon(R) X7560","yes",267,25
396,"Sort-Merge & Hash Join","CPU",null,null,"yes",42,69
11,"Sort-Merge Join","CPU","Intel","Xeon E5310","yes",5,26
177,"Hash Join","FPGA","Altera","Stratix IV GX530","yes",73,16
